Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,DayOfWeek,Holiday,Season,EnergyConsumption
39.43920941514107,36.497047362013774,1036.3627908426085,7,On,On,9.93933851285475,Wednesday,No,Summer,106.93564012463933
5.068949862718554,45.53252948964104,2446.7996872065546,1,Off,Off,16.655163271184986,Monday,Yes,Winter,30.0
29.314925871235797,38.480461967211355,2551.655710580181,15,On,Off,48.39595740183824,Sunday,Yes,Summer,65.07666840895347
28.87255154642621,23.121796279200854,1340.5215752947795,3,Off,Off,39.80695131566666,Friday,Yes,Summer,49.14095909892674
38.90634701176318,31.19588333129404,2754.9129728176977,9,On,On,12.19201949229316,Sunday,Yes,Summer,80.96584266225456
19.197772472882374,75.72565958792413,1764.7404353000902,0,Off,On,7.354206895903259,Wednesday,No,Rainy,53.06027490168778
20.88911387112409,82.39056142562792,800.810382464511,7,Off,On,49.6656333436726,Saturday,Yes,Rainy,36.40799435741558
22.606678434426026,89.599309269976,941.7390327533356,12,Off,On,32.64082296082152,Wednesday,Yes,Rainy,53.40703609717746
9.952842428002906,40.42653387884167,1038.0607984428,7,On,Off,13.006900068091825,Monday,Yes,Winter,41.15171653179882
20.226938524900053,77.98575108267865,1704.4701173156868,9,Off,On,6.087735118303161,Tuesday,Yes,Rainy,51.778109853018854
23.215235840806358,88.59734941731571,1633.4999153613667,8,On,Off,36.43607722239275,Friday,Yes,Rainy,49.04899332454887
22.698967168616885,77.27097796175637,1092.4187765985048,3,On,On,17.171171765412225,Tuesday,No,Rainy,72.54756179805432
29.84039047031718,37.42877484079595,2652.9587075485715,11,Off,On,25.582224376172064,Monday,Yes,Summer,72.21125699597876
11.692537807446177,46.64818927323209,2648.2660065611026,11,Off,On,12.167369938136268,Wednesday,Yes,Winter,34.19138629901532
28.46222923734396,30.74256878713266,2332.3568889983467,14,On,Off,8.408177694613228,Monday,No,Summer,113.7726136148413
7.048812636378148,32.601668490616746,901.1254646343588,1,On,On,3.5285712246025778,Monday,Yes,Winter,48.409278144146235
29.852136232310116,33.29378089476138,1687.4033105935196,12,On,Off,43.641944266193626,Sunday,No,Summer,101.91459780643918
9.842255482163576,31.49528794840141,2954.974370140768,3,On,Off,33.14526782575029,Monday,No,Winter,46.323760053736024
39.98046698642757,22.67441241133843,1347.3909414035218,4,Off,Off,16.302325067282275,Saturday,No,Summer,87.45578617585481
5.520349765041867,49.82389051479812,2674.6302854482506,7,On,On,46.18853226582918,Saturday,No,Winter,51.0704549142751
22.168299911402073,80.21987286065745,892.7455288299877,0,Off,Off,39.820410904937695,Wednesday,No,Rainy,38.094052112088235
32.32478957434404,31.66486278980212,1784.8459021956573,6,On,On,45.136965178796196,Monday,No,Summer,86.91327196383195
10.819397799166024,36.47325952607608,2572.793700407039,2,On,Off,22.490558680089134,Thursday,No,Winter,61.24044695382939
5.36539497279103,30.44490497770178,927.3227387333734,8,On,On,21.453956168540955,Wednesday,No,Winter,66.33949606252449
28.8819324559325,30.57994230854824,2022.1576909799544,3,Off,On,40.482038992362334,Sunday,No,Summer,73.14968542157386
18.548036283084546,72.37107892389554,2014.145849068383,13,Off,Off,9.266041823482096,Monday,No,Rainy,73.60768648187415
25.405355681601662,28.845923217858534,1147.739756058814,9,Off,On,43.15935894832915,Wednesday,No,Summer,88.86487819689566
28.715912864093745,25.001160590555628,2057.61871132534,3,Off,On,23.784115188100113,Wednesday,Yes,Summer,60.19725459914848
25.62686243381557,76.63869889961046,2779.4576706577063,0,On,On,9.278486552879322,Monday,No,Rainy,67.60193096034644
22.060709791437098,77.00398397967005,863.4155452548193,13,On,Off,36.50150681367835,Wednesday,Yes,Rainy,60.313376156422564
18.591707918056166,75.73474503349259,1345.1469754943541,0,On,On,20.42575318577281,Monday,No,Rainy,79.52504743988789
12.55796027335018,39.54240620387753,1435.2744359832482,7,On,Off,13.760849819447213,Monday,No,Winter,65.36371743717058
12.151155628413164,43.23698658380574,964.0624113567907,4,Off,Off,28.061009845810315,Sunday,Yes,Winter,30.0
30.332522490432652,31.76601993351708,2747.4895313909105,3,Off,On,46.738549017478114,Friday,No,Summer,78.1640509978454
19.570416981584078,84.41921895339523,2919.070835673646,5,On,On,14.605116822037184,Thursday,Yes,Rainy,51.85533673044183
13.850500660968402,46.778280195595556,2619.7093579349525,15,Off,Off,2.199635252975629,Thursday,Yes,Winter,49.76141604142584
35.624434389984245,33.470941009236014,2943.9679181038423,8,Off,On,16.00297348874868,Friday,Yes,Summer,68.24650059317662
14.095208415138558,39.975185682036404,1552.4731011066774,4,Off,Off,34.011971083721534,Thursday,No,Winter,32.96504042537791
12.017534497771372,45.9096338364386,1368.848915380734,8,Off,On,2.168187344355055,Sunday,Yes,Winter,42.108029623577735
22.75136234453842,84.091236414721,1286.7125714706153,12,Off,Off,41.146150224089936,Saturday,No,Rainy,51.45467021326934
21.101226006538752,74.7465055455359,2436.788900477719,1,On,Off,48.55455001275687,Wednesday,Yes,Rainy,35.751309158456344
23.490081025888404,79.0132183054025,1893.511573864652,5,Off,Off,42.40642786561866,Sunday,No,Rainy,50.413183533251754
26.761710111893457,77.80935181518915,2543.0934266545473,15,On,Off,16.042292740775398,Saturday,Yes,Rainy,67.53193007244688
10.306849443287977,44.024038357300675,2085.574447724254,11,On,On,21.824618964624598,Saturday,No,Winter,82.80011607899903
28.35010513950987,36.01782587068875,2531.4643502057706,9,On,Off,3.8189603052424745,Sunday,No,Summer,117.76880989185995
21.27769085659626,75.43145676349866,1389.2039241754142,13,On,On,36.9308556305117,Friday,No,Rainy,117.24039632497036
18.738262574947704,80.26032494174048,2352.9016541503,11,Off,On,31.481615427060834,Saturday,Yes,Rainy,43.76078808330014
19.057531428901502,89.87049295880554,2098.238615708074,2,Off,Off,1.6938720002428076,Friday,No,Rainy,50.01116117581173
18.34796524070764,78.07654405920141,2207.7352914038775,8,Off,On,23.417401931671932,Friday,Yes,Rainy,43.885474925719286
14.57222326112653,30.536709830699586,2809.72613915921,10,On,On,41.68714269501276,Thursday,Yes,Winter,54.35635424115067
20.651758450352244,75.65519775533086,1253.3979182229832,6,On,Off,37.03223600093434,Thursday,Yes,Rainy,47.7725603590509
32.5268105707583,29.22843370403141,1313.077590833333,0,Off,Off,25.343586965111225,Saturday,Yes,Summer,48.3146424550395
37.83500919301909,23.360949301841774,2801.4097806153154,14,On,On,12.871483448970245,Sunday,No,Summer,128.2295628539664
5.735765806023322,38.48750702907339,2767.440438722864,1,On,On,11.886887956721381,Monday,No,Winter,66.45427728751828
27.459106745939483,71.57079244507067,1806.1348497140334,14,Off,On,6.371016240055222,Tuesday,No,Rainy,82.15810302812858
27.239781482182288,80.66122444370674,2419.9144501964543,11,Off,Off,42.852058544599,Saturday,No,Rainy,70.94146975031421
11.0246874832653,46.77654611879584,1631.1806561186513,15,Off,On,9.905164094056163,Monday,No,Winter,85.58044519082188
38.39783139364151,20.242968765149275,2169.7992550073013,7,Off,On,20.726643388471704,Friday,Yes,Summer,65.83473397200287
13.928507219803107,41.15336354474323,1388.7843594369863,11,On,Off,41.78182016536775,Monday,Yes,Winter,39.92420793457768
5.734534009066545,30.66545273216925,2288.692563946472,15,On,Off,3.6245677738205364,Wednesday,Yes,Winter,59.2315250846465
34.86728041747753,21.521968889010815,2360.7643749340896,3,Off,Off,15.184538933362917,Tuesday,Yes,Summer,56.53530870507542
12.377512997441809,49.83031903706997,1887.000287034106,14,Off,On,16.864824872275452,Monday,Yes,Winter,44.37152886665399
37.181698882396155,29.828876947200623,1451.4022666675214,8,On,On,45.28032332567647,Monday,Yes,Summer,86.71430433488192
14.339658839275673,45.87752590893162,1107.7320031960394,14,Off,Off,7.506580511793875,Friday,No,Winter,68.81476389535794
27.580515601977794,71.41802985913192,1074.0306508453914,5,Off,On,11.830626153320761,Monday,Yes,Rainy,51.21532001145686
7.23565103518471,34.35776522308258,2346.1625303239334,5,Off,Off,3.471733398415533,Saturday,No,Winter,42.36185016057557
7.27258789966326,47.83340062001076,2015.5977522244013,7,On,On,21.343165807657634,Saturday,No,Winter,80.15476269754477
25.869643610336542,37.140817001506534,1457.1737281735889,11,Off,On,20.99738149330404,Monday,Yes,Summer,63.01879935091001
26.206110314221693,26.366207134078955,2949.368326531251,1,On,On,40.689568437638286,Sunday,No,Summer,95.79817295213127
7.176268054254739,35.76667019310182,2476.187638694286,2,On,Off,48.91069256330993,Sunday,Yes,Winter,33.01958595276868
23.189749820490636,76.0697721043117,1385.2396272817896,3,On,Off,39.86106849934959,Thursday,Yes,Rainy,40.15581905106471
27.577962128220094,32.488968776208054,1425.1542823349055,4,On,On,27.410047710139025,Sunday,Yes,Summer,75.55909990655664
23.397193286304358,86.27045707478112,2308.9332697673008,12,On,On,6.0399252509567125,Monday,Yes,Rainy,58.4656634457388
25.850423661684346,38.01517002387471,1486.8887145172532,11,Off,Off,16.441715106175607,Thursday,No,Summer,80.11734798471167
37.82214304930729,38.42824230273171,1157.8312823518188,4,Off,On,4.781663985644396,Monday,No,Summer,98.80754801829944
24.338504470951154,79.83434983726463,2020.2563078979572,14,On,On,42.517563580921326,Monday,No,Rainy,100.83968937077003
31.23830050218371,28.27284323066073,1700.2589926824924,11,On,Off,25.336663723936624,Friday,No,Summer,108.0652719170548
24.687334225888648,81.16652475602204,2195.6739238663763,13,Off,Off,41.45336416270211,Thursday,No,Rainy,60.81946307398486
9.367218249021704,33.32074978240401,1170.8503413482308,10,Off,On,24.972199062352622,Thursday,No,Winter,55.86478749842324
22.636896715921534,83.00056946189511,1636.721696606785,3,Off,Off,36.99997850839259,Sunday,No,Rainy,43.357751855469466
26.323619125277485,37.296415262663714,1411.1736784912982,3,Off,Off,46.088589530856304,Friday,Yes,Summer,41.42635655525738
22.30779730233447,80.55832207399177,2832.857306328866,12,Off,Off,15.556022032909695,Tuesday,No,Rainy,80.97543848525177
12.02555097750201,46.98230402876058,2244.96282998358,10,On,Off,24.91257578698205,Saturday,Yes,Winter,48.230658985301794
26.136212840693876,22.363921992179574,1011.6792771544314,1,Off,On,0.42157968880376373,Monday,No,Summer,82.6881432081144
24.897325531903903,75.30421764884854,2003.5400671778689,8,On,Off,7.229705395301888,Thursday,Yes,Rainy,54.181148200307256
37.711172863308086,38.90258043263927,935.8387201529567,15,Off,Off,46.017412616290166,Sunday,No,Summer,91.33996442656574
19.378936431285666,78.70241158777957,1966.508061366001,2,Off,Off,27.95318614413582,Tuesday,Yes,Rainy,30.0
