Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,DayOfWeek,Holiday,Season
13.241067800084046,44.42874346117805,2525.995074791733,9,1,1,39.65055542802891,5,0,2
27.65851570364144,28.751234562078785,956.006769246754,13,1,1,26.28775769961485,6,0,1
23.53553371905716,70.71830522720028,1178.7643783965957,6,1,0,35.196334997119344,3,1,0
18.94184115516512,75.34143479194114,1871.3135915672808,9,0,0,10.814743284689891,6,0,0
31.340969911588186,35.6935398324941,2912.4861031870328,14,1,1,7.041482566747725,1,1,1
28.35010513950987,36.01782587068875,2531.46435020577,9,1,0,3.8189603052424745,3,0,1
31.99812175950509,26.72954129744766,2449.087175558051,4,1,1,26.87204521882756,6,1,1
14.625853079338471,44.37858726942808,1644.851785210573,11,0,0,4.630081116314027,2,0,2
26.402608652270946,73.09625734540214,2464.0909386206886,14,0,1,10.54595524899305,5,1,0
26.635265796638745,87.75767429645853,860.7488161080422,12,0,0,10.916305743986888,4,0,0
5.340931515343776,45.02016513710924,867.8647617086975,7,1,0,27.234418405870723,6,1,2
13.979457028973172,32.19798228768819,1078.6349794441098,10,0,0,11.834852853647504,2,1,2
14.736019165425589,36.50319701572538,2401.0914040134203,11,0,0,8.074778733155958,6,0,2
7.415292091480618,49.40219095236429,2800.820986373197,15,1,0,25.837183644777216,0,0,2
19.098358358566696,80.98276911150498,1628.7393765573695,14,1,0,26.99322119333239,5,0,0
26.15642130612352,86.24309837822443,1866.95053240107,7,0,0,18.81691445712324,2,1,0
14.347356276853429,35.33860457247157,1571.6357415636128,6,0,1,2.8484672288857595,3,1,2
19.397873817900415,87.80907863232035,2450.440893028828,9,1,1,12.251801820553831,2,0,0
23.12416202199606,88.66754462959955,1599.6269906256146,15,0,1,12.219827770697744,1,0,0
35.560615865018704,37.25146899396879,2808.609941952104,9,1,1,39.18008396474495,0,0,1
27.32555172831223,87.71504610051151,2319.4116805626613,11,1,1,42.454123522542986,1,1,0
11.080669299793184,44.27813467973516,2406.547210344293,13,0,1,6.2668908684402505,1,0,2
27.996867599631948,73.03922116921484,2901.046496146985,9,1,1,28.44462215406058,6,1,0
32.4918632729272,23.002426050856197,864.477838400511,9,1,1,19.580174337476564,2,0,1
9.79765199431934,38.57574404169496,2386.5482251076064,9,0,0,47.23339134026837,0,0,2
